category_slug,category_name,category_url,product_url,title,vendor,price_current_text,price_current_value,price_compare_text,price_compare_value,currency,sale_badge,sold_out,weight_carat,clarity,size_mm,colour,shape_cut,origin,heated,certificate,sku,desc_h2,desc_h4,raw_description_text,product_id,variant_id,og_image,image_urls_concat,scraped_at
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-84-carat,Blue Sapphire 1.84 carat,J N Gems,"Rs 200,400.00",200400.0,,,LKR,True,False,1.84,,6.7mm mm,Medium Blue,Round step cut,,,N/A,JNBS164,,,"Weight (carat): 1.84 Clarity: Size: 6.7mm mm Colour: Medium Blue Shape and Cut: Round step cut Origin: Heated: Certificate: N/A SKU: JNBS164 Expertly cut from natural blue sapphire, this 1.84 carat round pastel stone boasts a brilliant luster. Ideal for a ladies' ring, its step cut and 6.7mm size make for a stunning addition to any jewelry collection. Add a touch of sophistication with this Blue Sapphire.",7561960161489,42484403699921,http://jngems.com/cdn/shop/files/blue-sapphire-184-carat-498219.jpg?v=1746414828,,2025-09-02T05:26:00.821188+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/natural-teal-sapphire-1-58-carat,Natural Teal sapphire 1.58 carat,J N Gems,"Rs 178,800.00",178800.0,,,LKR,True,False,1.58,Loupe Clean,6.7x6.35mm mm,Greenish Blue,Emerald cut,,true,,JNTE158,Teal sapphire,,Weight (carat): 1.58 Clarity: Loupe Clean Size: 6.7x6.35mm mm Colour: Greenish Blue Shape and Cut: Emerald cut Origin: Heated: true Certificate: SKU: JNTE158 Teal sapphire Natural Blue Green Sapphires. Octagon shape . Excellent cutting quality. Loupe clean. Weight 1.58 carat Size : 6.7x6.35mm,7547190673617,42441345204433,http://jngems.com/cdn/shop/files/natural-teal-sapphire-158-carat-705896.jpg?v=1746414812,,2025-09-02T05:26:03.074839+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-37-carat,Blue Sapphire 1.37 carat,J N Gems,"Rs 131,000.00",131000.0,,,LKR,True,False,1.37,Loupe clean,6.0mm mm,Blue,Round step,Ceylon,true,,JNBS137 -1,"Blue Sapphire. With an impressive weight of 1.37 carats, this majestic gem commands attention with its captivating round step cut, measuring 6.0mm. Its top-tier eye clean and exceptional cutting quality ensure a mesmerizing brilliance that dazzles from every angle. Originating from Sri Lanka, renowned for producing some of the world's finest blue sapphires, this gem showcases a rich, deep hue that embodies timeless elegance.",,"Weight (carat): 1.37 Clarity: Loupe clean Size: 6.0mm mm Colour: Blue Shape and Cut: Round step Origin: Ceylon Heated: true Certificate: SKU: JNBS137 -1 Blue Sapphire. With an impressive weight of 1.37 carats, this majestic gem commands attention with its captivating round step cut, measuring 6.0mm. Its top-tier eye clean and exceptional cutting quality ensure a mesmerizing brilliance that dazzles from every angle. Originating from Sri Lanka, renowned for producing some of the world's finest blue sapphires, this gem showcases a rich, deep hue that embodies timeless elegance.",7510756524241,42362192298193,http://jngems.com/cdn/shop/files/blue-sapphire-137-carat-244315.jpg?v=1746414847,,2025-09-02T05:26:05.789476+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-4-44-carat,Blue Sapphire 4.44 carat,J N Gems,"Rs 889,500.00",889500.0,,,LKR,True,False,4.44,Eye Clean,9.1x7.1x5.2 mm,Vivid blue,Oval mix,Sri Lanka,true,,JNBS444,,,Weight (carat): 4.44 Clarity: Eye Clean Size: 9.1x7.1x5.2 mm Colour: Vivid blue Shape and Cut: Oval mix Origin: Sri Lanka Heated: true Certificate: SKU: JNBS444 Blue Sapphire 4.44 carat Size : 11x9.0x5.2mm Shape : Oval mix cut Treatment : Heated Color : vivid Blue,7510755606737,42362190135505,http://jngems.com/cdn/shop/files/blue-sapphire-444-carat-345373.jpg?v=1746414792,,2025-09-02T05:26:11.333213+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-2,Blue Sapphire 3.03 carat,J N Gems,"Rs 755,200.00",755200.0,,,LKR,True,False,3.03,Eye Clean,9.1x7.1x5.2 mm,Royal blue,Oval mix,Sri Lanka,true,,JNBS303,,,Weight (carat): 3.03 Clarity: Eye Clean Size: 9.1x7.1x5.2 mm Colour: Royal blue Shape and Cut: Oval mix Origin: Sri Lanka Heated: true Certificate: SKU: JNBS303 Blue Sapphire 3.03 carat Size : 9.1x7.1x5.2 mm Shape : Oval mix cut Treatment : Heated Color : Royal Blue,7510754394321,42362181681361,http://jngems.com/cdn/shop/files/blue-sapphire-303-carat-445917.jpg?v=1746414820,,2025-09-02T05:26:14.492182+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/alexandrite-cats-eye-1-68-carats,Alexandrite Cat's Eye 1.68 carats,J N Gems,"Rs 178,800.00",178800.0,,,LKR,True,False,1.68,Eye Clean,4 mm,Color change,Cabochon,Sri Lanka,,,JNALCAT168,,,"Weight (carat): 1.68 Clarity: Eye Clean Size: 4 mm Colour: Color change Shape and Cut: Cabochon Origin: Sri Lanka Heated: Certificate: SKU: JNALCAT168 Natural Alexandrite Cat's Eye A natural Alexandrite Cat’s Eye at 1.68 carats is indeed a rare and valuable find. This gemstone combines both the color-changing properties of Alexandrite and the distinct cat’s eye effect, which is especially desirable among collectors and gem enthusiasts. When evaluating the quality of a 1.68 carat Alexandrite Cat’s Eye, consider the following: 1. Color Change: Look for a noticeable color shift, typically from greenish in daylight to reddish under incandescent light. The color change is one of the most unique and valuable features of Alexandrite. 2. Cat’s Eye Effect (Chatoyancy ): A sharp, well-defined eye across the stone is ideal. The eye should move smoothly as the gem is rotated under a light source. 3. Clarity: Alexandrite tends to have inclusions, but clarity is still important. Inclusions shouldn’t interfere with the visibility of the cat’s eye. 4. Cut and Shape: A cabochon cut is commonly used to bring out the cat’s eye effect. An oval or round shape typically works best to enhance this phenomenon.",7509937651921,42358062842065,http://jngems.com/cdn/shop/files/alexandrite-cats-eye-168-carats-553567.jpg?v=1746414870,,2025-09-02T05:26:17.601482+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/alexandrite-cats-eye-2-56-carats,Alexandrite Cat's Eye 2.56 carats,J N Gems,"Rs 209,600.00",209600.0,,,LKR,True,False,2.56,Eye Clean,4 mm,Honey,Cabochon,Sri Lanka,,,JNALCAT256,,,"Weight (carat): 2.56 Clarity: Eye Clean Size: 4 mm Colour: Honey Shape and Cut: Cabochon Origin: Sri Lanka Heated: Certificate: SKU: JNALCAT256 Natural Alexandrite Cat's Eye A natural Alexandrite Cat’s Eye at 2.56 carats is indeed a rare and valuable find. This gemstone combines both the color-changing properties of Alexandrite and the distinct cat’s eye effect, which is especially desirable among collectors and gem enthusiasts. When evaluating the quality of a 2.56 carat Alexandrite Cat’s Eye, consider the following: 1. Color Change: Look for a noticeable color shift, typically from greenish in daylight to reddish under incandescent light. The color change is one of the most unique and valuable features of Alexandrite. 2. Cat’s Eye Effect (Chatoyancy ): A sharp, well-defined eye across the stone is ideal. The eye should move smoothly as the gem is rotated under a light source. 3. Clarity: Alexandrite tends to have inclusions, but clarity is still important. Inclusions shouldn’t interfere with the visibility of the cat’s eye. 4. Cut and Shape: A cabochon cut is commonly used to bring out the cat’s eye effect. An oval or round shape typically works best to enhance this phenomenon.",7509935358161,42358059958481,http://jngems.com/cdn/shop/files/alexandrite-cats-eye-256-carats-452712.jpg?v=1746414840,,2025-09-02T05:26:20.847375+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/alexandrite-cats-eye,Alexandrite Cat's Eye 1.93 carats,J N Gems,"Rs 172,600.00",172600.0,,,LKR,True,False,1.93,Eye Clean,4 mm,Honey,Cabochon,Sri Lanka,,,JNALCAT193,,,"Weight (carat): 1.93 Clarity: Eye Clean Size: 4 mm Colour: Honey Shape and Cut: Cabochon Origin: Sri Lanka Heated: Certificate: SKU: JNALCAT193 Natural Alexandrite Cat's Eye A natural Alexandrite Cat’s Eye at 1.93 carats is indeed a rare and valuable find. This gemstone combines both the color-changing properties of Alexandrite and the distinct cat’s eye effect, which is especially desirable among collectors and gem enthusiasts. When evaluating the quality of a 1.93-carat Alexandrite Cat’s Eye, consider the following: 1. Color Change: Look for a noticeable color shift, typically from greenish in daylight to reddish under incandescent light. The color change is one of the most unique and valuable features of Alexandrite. 2. Cat’s Eye Effect (Chatoyancy ): A sharp, well-defined eye across the stone is ideal. The eye should move smoothly as the gem is rotated under a light source. 3. Clarity: Alexandrite tends to have inclusions, but clarity is still important. Inclusions shouldn’t interfere with the visibility of the cat’s eye. 4. Cut and Shape: A cabochon cut is commonly used to bring out the cat’s eye effect. An oval or round shape typically works best to enhance this phenomenon.",7509931589841,42358054518993,http://jngems.com/cdn/shop/files/FullSizeRender_ba76501e-461e-404b-b73a-b081853ce910.heic?v=1730102331,,2025-09-02T05:26:23.556086+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/chrysoberyl-cats-eye,Chrysoberyl Cat's Eye,J N Gems,"Rs 100,200.00",100200.0,,,LKR,True,False,,Eye Clean,3 mm,Honey,Cabochon,Sri Lanka,,,,,,"Weight (carat): Clarity: Eye Clean Size: 3 mm Colour: Honey Shape and Cut: Cabochon Origin: Sri Lanka Heated: Certificate: SKU: Natural Chrysoberyl Cat's Eye Sri Lankan Origin Chrysoberyl Cat’s Eye gemstones are highly valued, especially when they exhibit a strong, well-centered “ cat’s eye ” effect. The silver ray or “milk and honey” effect is desirable, enhancing the stone’s appeal and visibility of the cat’s eye effect. For a high-quality Chrysoberyl Cat’s Eye over one carat, an oval shape is often preferred to display the optical effect to its best advantage. The intensity of the cat’s eye line, combined with a well-polished cabochon cut, ensures the best appearance.",7509920448721,42358035022033,http://jngems.com/cdn/shop/files/FullSizeRender_12a09a9b-b8c4-4530-9d70-38edd432bc06.heic?v=1730101054,,2025-09-02T05:26:26.028234+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-13-26-carat,Blue Sapphire 13.26 carat,jngems,"Rs 692,000.00",692000.0,,,LKR,True,False,13.26,Eye Clean,Mix size mm,Vivid Blue,Oval,Sri Lanka,true,,JNBS1326,Blue Sapphire,,"Weight (carat): 13.26 Clarity: Eye Clean Size: Mix size mm Colour: Vivid Blue Shape and Cut: Oval Origin: Sri Lanka Heated: true Certificate: SKU: JNBS1326 Blue Sapphire This Blue Sapphire bracelet or necklace features 16 pieces of oval-shaped, 13.26 carat stones with a vivid royal blue hue. Made of exquisite sapphires from Sri Lanka, this stunning piece is a perfect addition to any jewelry collection. Experience the timeless elegance and luxurious quality of these gemstones.",7507322699985,42352178430161,http://jngems.com/cdn/shop/files/blue-sapphire-1326-carat-930670.jpg?v=1746414795,,2025-09-02T05:26:29.598040+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-11-63-carat,Blue Sapphire 11.63 carat,jngems,"Rs 692,000.00",692000.0,,,LKR,True,False,11.63,Eye Clean,Mix size mm,Royal Blue,Oval,Sri Lanka,true,,JNBS1163,Blue Sapphire,,"Weight (carat): 11.63 Clarity: Eye Clean Size: Mix size mm Colour: Royal Blue Shape and Cut: Oval Origin: Sri Lanka Heated: true Certificate: SKU: JNBS1163 Blue Sapphire Expertly crafted with 19 pieces of stunning Royal Blue sapphires from Sri Lanka, the Blue Sapphire 11.63 carat is the perfect addition to any bracelet or necklace. Boasting vibrant colors and an elegant oval shape, this piece is sure to impress. Elevate your jewelry collection with this exquisite gemstone.",7507290816721,42352137797841,http://jngems.com/cdn/shop/files/blue-sapphire-1163-carat-876539.jpg?v=1746414782,,2025-09-02T05:26:31.950065+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-8-98-carat,Blue Sapphire 8.98 carat,jngems,"Rs 692,000.00",692000.0,,,LKR,True,False,8.98,Eye Clean,Mix size mm,Royal Blue,Oval,Sri Lanka,true,,JNBS898,Blue Sapphire,,"Weight (carat): 8.98 Clarity: Eye Clean Size: Mix size mm Colour: Royal Blue Shape and Cut: Oval Origin: Sri Lanka Heated: true Certificate: SKU: JNBS898 Blue Sapphire This Blue Sapphire bracelet or necklace features 16 pieces of oval-shaped, 8.98 carat stones with a vivid royal blue hue. Made of exquisite sapphires from Sri Lanka, this stunning piece is a perfect addition to any jewelry collection. Experience the timeless elegance and luxurious quality of these gemstones.",7507280822481,42352126230737,http://jngems.com/cdn/shop/files/blue-sapphire-898-carat-294820.jpg?v=1746414816,,2025-09-02T05:26:38.088276+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-17-82-carat,Blue Sapphire 17.82 carat,jngems,"Rs 678,100.00",678100.0,,,LKR,True,False,17.82,Clean,Mix mm,Royal Blue,Oval carving,Sri Lanka,true,,JNBS1782,Cornflower Blue sapphire,,"Weight (carat): 17.82 Clarity: Clean Size: Mix mm Colour: Royal Blue Shape and Cut: Oval carving Origin: Sri Lanka Heated: true Certificate: SKU: JNBS1782 Cornflower Blue sapphire Weight : 17.82 carat Size : Free sizes Shape & cut : oval carving Color : Royal Blue Clarity : clean Treatment : Heated This exquisite 17.82 carat Royal blue Ceylon sapphire, free sizes features a unique step oval With clean clarity and enhanced through heating, this sapphire showcases a vibrant Royal blue hue. Its exceptional brilliance and pristine quality make it an ideal choice for elegant fine jewelry.",7469499875537,42238110564561,http://jngems.com/cdn/shop/files/blue-sapphire-1782-carat-583032.jpg?v=1746414835,,2025-09-02T05:26:41.121967+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-19-carat-1,Blue Sapphire 1.19 carat,J N Gems,"Rs 131,000.00",131000.0,,,LKR,True,False,1.19,Clean,6.7x5.7x4.2 mm,Medium Blue,Pear step,Sri Lanka,true,,JNBS119,Blue Sapphire,,Weight (carat): 1.19 Clarity: Clean Size: 6.7x5.7x4.2 mm Colour: Medium Blue Shape and Cut: Pear step Origin: Sri Lanka Heated: true Certificate: SKU: JNBS119 Blue Sapphire Size :6.7x5.7x4.30mm Weight : 1.19carat Shape: pear shape,7469499318481,42238106337489,http://jngems.com/cdn/shop/files/blue-sapphire-119-carat-143011.jpg?v=1746414783,,2025-09-02T05:26:43.988511+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-07-carat,Blue Sapphire 1.07 carat,jngems,"Rs 197,300.00",197300.0,,,LKR,True,False,1.07,Clean,7.3x5.5 mm,Royal Blue,Oval Step,Sri Lanka,true,,JNBS107,Cornflower Blue sapphire,,"Weight (carat): 1.07 Clarity: Clean Size: 7.3x5.5 mm Colour: Royal Blue Shape and Cut: Oval Step Origin: Sri Lanka Heated: true Certificate: SKU: JNBS107 Cornflower Blue sapphire Weight : 1.07 carat Size : 7.3x 5.5 mm Shape & cut : oval step Color : Royal Blue Clarity : loupe clean Treatment : Heated This exquisite 1.07 carat Royal blue Ceylon sapphire, measuring 7.3x 5.5mm features a unique step oval With loupe clean clarity and enhanced through heating, this sapphire showcases a vibrant Royal blue hue. Its exceptional brilliance and pristine quality make it an ideal choice for elegant fine jewelry.",7469499056337,42238105256145,http://jngems.com/cdn/shop/files/blue-sapphire-107-carat-539539.jpg?v=1746414840,,2025-09-02T05:26:46.306970+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/blue-sapphire-1-60-carat,Blue Sapphire 1.60 carat,jngems,"Rs 197,300.00",197300.0,,,LKR,True,False,1.60,Clean,7.5x5.8 mm,Royal Blue,Cushion Step,Sri Lanka,true,,JNBS160,Cornflower Blue sapphire,,"Weight (carat): 1.60 Clarity: Clean Size: 7.5x5.8 mm Colour: Royal Blue Shape and Cut: Cushion Step Origin: Sri Lanka Heated: true Certificate: SKU: JNBS160 Cornflower Blue sapphire Weight : 1.60carat Size : 7.5x5.8mm Shape & cut : cushion step Color : Royal Blue Clarity : loupe clean Treatment : Heated This exquisite 1.60 carat Royal blue Ceylon sapphire, measuring 7.5x5.8mm, features a unique step cushion With loupe clean clarity and enhanced through heating, this sapphire showcases a vibrant Royal blue hue. Its exceptional brilliance and pristine quality make it an ideal choice for elegant fine jewelry.",7469498663121,42238103847121,http://jngems.com/cdn/shop/files/blue-sapphire-160-carat-258349.jpg?v=1746414854,,2025-09-02T05:26:49.856664+00:00
ceylon-sapphire,Collection: Sapphires,https://jngems.com/collections/ceylon-sapphire,https://jngems.com/products/natural-blue-sapphire-1-51-carat,Natural Blue Sapphire 1.51 carat,J N Gems,"Rs 231,200.00",231200.0,,,LKR,True,False,1.51,Clean,8x6x3mm mm,Medium Blue,Cushion step,Sri Lanka,true,,JNBS152,Blue Sapphire,,"Weight (carat): 1.51 Clarity: Clean Size: 8x6x3mm mm Colour: Medium Blue Shape and Cut: Cushion step Origin: Sri Lanka Heated: true Certificate: SKU: JNBS152 Blue Sapphire Blue sapphire, Size :8x6x3.0mm Weight : 1.51 carat Cushion mixed cut",7469498106065,42238101487825,http://jngems.com/cdn/shop/files/natural-blue-sapphire-151-carat-759181.jpg?v=1746414773,,2025-09-02T05:26:52.260904+00:00
